key,row,x_mm,y_mm,half,seam_x_for_row
Esc,0,-52.39,57.15,L,90.48
F1,0,-33.34,57.15,L,90.48
F2,0,-14.29,57.15,L,90.48
F3,0,4.76,57.15,L,90.48
F4,0,23.81,57.15,L,90.48
F5,0,42.86,57.15,L,90.48
F6,0,61.91,57.15,L,90.48
F7,0,80.96,57.15,L,90.48
F8,0,100.01,57.15,R,90.48
F9,0,119.06,57.15,R,90.48
F10,0,138.11,57.15,R,90.48
F11,0,157.16,57.15,R,90.48
F12,0,176.21,57.15,R,90.48
PrtSc,0,195.26,57.15,R,90.48
Cust1,0,214.31,57.15,R,90.48
Cust2,0,233.36,57.15,R,90.48
`,1,-52.39,38.1,L,90.48
1,1,-33.34,38.1,L,90.48
2,1,-14.29,38.1,L,90.48
3,1,4.76,38.1,L,90.48
4,1,23.81,38.1,L,90.48
5,1,42.86,38.1,L,90.48
6,1,61.91,38.1,L,90.48
7,1,80.96,38.1,L,90.48
8,1,100.01,38.1,R,90.48
9,1,119.06,38.1,R,90.48
0,1,138.11,38.1,R,90.48
-,1,157.16,38.1,R,90.48
=,1,176.21,38.1,R,90.48
Bksp,1,204.79,38.1,R,90.48
nav-Home,1,233.36,38.1,R,90.48
Tab,2,-47.62,19.05,L,80.97
Q,2,-23.81,19.05,L,80.97
W,2,-4.76,19.05,L,80.97
E,2,14.29,19.05,L,80.97
R,2,33.34,19.05,L,80.97
T,2,52.39,19.05,L,80.97
Y,2,71.44,19.05,L,80.97
U,2,90.49,19.05,R,80.97
I,2,109.54,19.05,R,80.97
O,2,128.59,19.05,R,80.97
P,2,147.64,19.05,R,80.97
[,2,166.69,19.05,R,80.97
],2,185.74,19.05,R,80.97
\,2,209.55,19.05,R,80.97
nav-PgUp,2,233.36,19.05,R,80.97
Caps,3,-45.24,0.0,L,85.72
A,3,-19.05,0.0,L,85.72
S,3,0.0,0.0,L,85.72
D,3,19.05,0.0,L,85.72
F,3,38.1,0.0,L,85.72
G,3,57.15,0.0,L,85.72
H,3,76.2,0.0,L,85.72
J,3,95.25,0.0,R,85.72
K,3,114.3,0.0,R,85.72
L,3,133.35,0.0,R,85.72
;,3,152.4,0.0,R,85.72
',3,171.45,0.0,R,85.72
Enter,3,202.41,0.0,R,85.72
nav-PgDn,3,233.36,0.0,R,85.72
LShift,4,-40.48,-19.05,L,95.25
Z,4,-9.53,-19.05,L,95.25
X,4,9.53,-19.05,L,95.25
C,4,28.58,-19.05,L,95.25
V,4,47.62,-19.05,L,95.25
B,4,66.67,-19.05,L,95.25
N,4,85.73,-19.05,L,95.25
M,4,104.78,-19.05,R,95.25
",",4,123.83,-19.05,R,95.25
.,4,142.88,-19.05,R,95.25
/,4,161.93,-19.05,R,95.25
RShift,4,188.12,-19.05,R,95.25
Up,4,214.31,-19.05,R,95.25
nav-End,4,233.36,-19.05,R,95.25
LCtrl,5,-50.01,-38.1,L,90.48
LOpt,5,-26.19,-38.1,L,90.48
LCmd,5,-2.38,-38.1,L,90.48
Space,5,69.06,-38.1,L,90.48
RCmd,5,138.11,-38.1,R,90.48
Fn,5,157.16,-38.1,R,90.48
RCtrl,5,176.21,-38.1,R,90.48
Left,5,195.26,-38.1,R,90.48
Down,5,214.31,-38.1,R,90.48
Right,5,233.36,-38.1,R,90.48
